Timestamp,Perpustakaan,Jantina,Umur,Tahap_tertinggi_pendidikan,Agama,Bangsa,Status_perkahwinan,Pernah_kunjung_perpustakaan,Perpustakaan_yang_dikunjung,Tujuan_perpustakaan _fizikal,Tujuan_perpustakaan_digital,Kekerapan_mengunjung,Ahli,Jarak_lokasi,Lokasi_strategik,Penting,Manfaat,Perlu_ada,Kekurangan_pengunjung,Penutupan_perpustakaan,Alternatif_bahanbacaan,Aktiviti,Tahap_promosi,Operasi,Tahap_perkhidmatan_waktu_perkhidmatan,Tahap_perkhidmatan_pinjam_pulang,Tahap_perkhidmatan_layanan_staff,Tahap_perkhidmatan_koleksi_dewasa,Tahap_perkhidmatan_koleksi_kanak,Tahap_perkhidmatan_koleksi_rujukan,Tahap_perkhidmatan_koleksi_akhbar,Tahap_perkhidmatan_koleksi_data,Tahap_perkhidmatan_koleksi_fotokopi,Tahap_perkhidmatan_koleksi_cetakan,Tahap_perkhidmatan_koleksi_galak_guna,Tahap_perkhidmatan_koleksi_perabot,Tahap_perkhidmatan_koleksi_kebersihan
2025/04/16 11:32:28 AM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,"Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Pinjaman dan pemulangan buku;Membuat rujukan / penyelidikan;Berjumpa kawan;""Healing"";Membaca;Mencari maklumat dalam subjek khas / khusus;Lawatan sambal belajar",Membaca,Setiap Minggu,Ya,1-3 km,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Sangat baik,Ya,Baik,Memuaskan,Baik,Baik,Baik,Baik,Memuaskan,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/16 11:43:06 AM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Membuat rujukan / penyelidikan,Setiap Minggu,Tidak,4-5 km,Ya,Ya,Ya,Ya,Tidak,Tidak perlu ditutup,Sumber dalam talian,Ya,Baik,Ya,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/16 11:54:26 AM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Membaca;Mencari maklumat dalam subjek khas / khusus,Menggunakan kemudahan perpustakaan;Pinjaman dan pemulangan buku;Belajar atau menyelesaikan tugasan;Membuat rujukan / penyelidikan;Membaca;Mencari maklumat dalam subjek khas / khusus,Kadang-kadang,Tidak,10 km ke atas,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Perpustakaan bandar terdekat;Sumber dalam talian,Ya,Neutral,Ya,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/16 11:59:13 AM GMT+8,Perpustakaan Desa Sempeneh,Lelaki,51+ (Warga Emas),SPM/ Setara,Islam,Melayu,Bujang,Koleksi perpustakaan tidak mencukupi / tidak terkini / tidak menarik,Perpustakaan fizikal,Berjumpa kawan,Berjumpa kawan,Sebulan sekali,Tidak ,4-5 km,Tidak,Tidak,Ya,Tidak,Tidak,Perlu ditutup,Sumber dalam talian,Ya,Sangat baik,Tidak,Sangat Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Baik,Memuaskan,Memuaskan,Sangat Baik,Memuaskan,Baik
2025/04/16 12:00:37 PM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,51+ (Warga Emas),SPM/ Setara,Islam,Melayu,Janda,Kekangan dari aspek masa lapang,,,,Tidak pernah,Tidak ,0-900 meter,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Neutral,Ya,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/16 12:01:20 PM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Menggunakan kemudahan perpustakaan,Menyertai aktiviti perpustakaan,Setiap Minggu,Ya,0-900 meter,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Sangat baik,Ya,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
2025/04/16 12:01:23 PM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,31-50 (Dewasa),STPM/ Setara,Islam,Melayu,Berkahwin,Kemudahan yang disediakan di perpustakaan tidak mencukupi,Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Menyertai aktiviti perpustakaan,Sebulan sekali,Ya,4-5 km,Tidak,Ya,Ya,Tidak,Ya,Perlu ditutup,Perpustakaan bandar terdekat,Ya,Sangat baik,Ya,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Baik,Memuaskan,Memuaskan,Baik,Memuaskan,Baik
2025/04/16 12:03:41 PM GMT+8,Perpustakaan Desa Sempeneh,Perempuan,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Janda,Lokasi perpustakaan tidak strategik,Perpustakaan fizikal,Membaca,Membaca,Jarang-jarang,Tidak ,6-10 km,Tidak,Ya,Ya,Tidak,Ya,Perlu ditutup,Sumber dalam talian,Ya,Baik,Ya,Sangat Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Baik,Memuaskan,Baik
2025/04/16 12:09:26 PM GMT+8,Perpustakaan Desa Sempeneh,Lelaki,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,Menyertai aktiviti perpustakaan,Membaca,Kadang-kadang,Ya,1-3 km,Ya,Ya,Tidak,Tidak,Ya,Perlu ditutup,"Lain-lain (Sila Nyatakan Di Ruangan ""Other"");Perpustakaan yang lain",Ya,Neutral,Tidak,Baik,Baik,Baik,Tidak memuaskan,Baik,Baik,Baik,Baik,Baik,Baik,Baik,Tidak memuaskan,Tidak memuaskan
2025/04/16 12:10:05 PM GMT+8,Perpustakaan Desa Sempeneh,Lelaki,31-50 (Dewasa),SPM/ Setara,Islam,Melayu,Berkahwin,,Perpustakaan fizikal,"Menggunakan kemudahan perpustakaan;Menyertai aktiviti perpustakaan;Membuat rujukan / penyelidikan;""Healing"";Membaca;Mencari maklumat dalam subjek khas / khusus;Menggunakan bahan-bahan bercetak",Membaca;Mencari maklumat dalam subjek khas / khusus;Lawatan sambal belajar,Sebulan sekali,Ya,1-3 km,Ya,Ya,Ya,Ya,Ya,Tidak perlu ditutup,Sumber dalam talian,Ya,Sangat baik,Ya,Baik,Baik,Baik,Baik,Baik,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan,Memuaskan
